,Year,Dest,Fcount,airport,city,state,country,lat,lon
181,2002,MCO,3180,Orlando International,Orlando,FL,USA,28.42888889,-81.31602778
200,2002,CLT,2895,Charlotte/Douglas International,Charlotte,NC,USA,35.21401111,-80.94312583
15,2003,LGA,12099,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
78,2003,PHL,8183,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
99,2003,ORD,7574,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
36,2003,DCA,6660,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
57,2003,EWR,6368,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
154,2003,BWI,4939,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
119,2003,ATL,4757,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
163,2003,JFK,4290,John F Kennedy Intl,New York,NY,USA,40.63975111,-73.77892556
140,2003,DFW,3720,Dallas-Fort Worth International,Dallas-Fort Worth,TX,USA,32.89595056,-97.0372
205,2003,BGR,3508,Bangor International,Bangor,ME,USA,44.80744444,-68.82813889
16,2004,LGA,12971,LaGuardia,New York,NY,USA,40.77724306,-73.87260917
37,2004,DCA,10114,Ronald Reagan Washington National,Arlington,VA,USA,38.85208333,-77.03772222
79,2004,PHL,8274,Philadelphia Intl,Philadelphia,PA,USA,39.87195278,-75.24114083
100,2004,ORD,8024,Chicago O'Hare International,Chicago,IL,USA,41.979595,-87.90446417
58,2004,EWR,5374,Newark Intl,Newark,NJ,USA,40.69249722,-74.16866056
193,2004,IAD,5296,Washington Dulles International,Chantilly,VA,USA,38.94453194,-77.45580972
120,2004,ATL,5122,William B Hartsfield-Atlanta Intl,Atlanta,GA,USA,33.64044444,-84.42694444
155,2004,BWI,5050,Baltimore-Washington International,Baltimore,MD,USA,39.17540167,-76.66819833
